nume,judet,abreviere,populatie,lat,lng,,
Goleasca,Giurgiu,GR,492,44.3544775,25.5844317,Goleasca,Goleasca
Obedeni,Giurgiu,GR,347,44.3509219,25.6504243,Obedeni,Obedeni
Podisor,Giurgiu,GR,572,44.3888081,25.7148719,Podisor,Podisor
Uiesti,Giurgiu,GR,405,44.3571997,25.6140239,Uiesti,Uiesti
Vadulat,Giurgiu,GR,821,44.3483975,25.6711495,Vadulat,VaduLat
Bulbucata,Giurgiu,GR,982,44.2751875,25.8070812,Bulbucata,Bulbucata
Coteni,Giurgiu,GR,6,44.3119184,25.8300744,Coteni,Coteni
Facau,Giurgiu,GR,160,44.2929208,25.8300415,Facau,Facau
Teisori,Giurgiu,GR,443,44.2962354,25.8061971,Teisori,Teisori
Buturugeni,Giurgiu,GR,1975,44.3666841,25.8395805,Buturugeni,Buturugeni
Padureni,Giurgiu,GR,1652,44.341725,25.8057417,Padureni,Padureni
Poduilfovatului,Giurgiu,GR,33,44.3200622,25.8166894,Poduilfovatului,PoduIlfovatului
Posta,Giurgiu,GR,419,44.3505316,25.8733092,Posta,Posta
Calugareni,Giurgiu,GR,1472,44.1834954,25.9981703,Calugareni,Calugareni
Branistari,Giurgiu,GR,945,44.181493,26.0465077,Branistari,Branistari
Cruceadepiatra,Giurgiu,GR,414,44.1583975,26.0007402,Cruceadepiatra,CruceadePiatra
Hulubesti,Giurgiu,GR,1751,44.1659973,25.9444057,Hulubesti,Hulubesti
Uzunu,Giurgiu,GR,1566,44.1419808,25.9827933,Uzunu,Uzunu
Clejani,Giurgiu,GR,2032,44.315266,25.7222339,Clejani,Clejani
Neajlovu,Giurgiu,GR,,44.313823,25.7536589,Neajlovu,Neajlovu
Podudoamnei,Giurgiu,GR,681,44.3065531,25.7456785,Podudoamnei,PoduDoamnei
Sterea,Giurgiu,GR,378,44.3230884,25.7355659,Sterea,Sterea
Colibasi,Giurgiu,GR,2127,44.2214483,26.188454,Colibasi,Colibasi
Campurelu,Giurgiu,GR,1402,44.2351691,26.182528,Campurelu,Campurelu
Comana,Giurgiu,GR,2113,44.1740653,26.1418766,Comana,Comana
Budeni,Giurgiu,GR,864,44.1897846,26.1127255,Budeni,Budeni
Falastoaca,Giurgiu,GR,980,44.1945171,26.1833137,Falastoaca,Falastoaca
Gradistea,Giurgiu,GR,1515,44.2128366,26.1586287,Gradistea,Gradistea
Vladtepes,Giurgiu,GR,1750,44.1351642,26.1308042,Vladtepes,VladTepes
Crevediamare,Giurgiu,GR,1672,44.4303526,25.6263025,Crevediamare,CrevediaMare
Crevediamica,Giurgiu,GR,988,44.4429926,25.6094477,Crevediamica,CrevediaMica
Dealu,Giurgiu,GR,1423,44.4005959,25.6479569,Dealu,Dealu
Gaiseanca,Giurgiu,GR,521,44.4563858,25.5894415,Gaiseanca,Gaiseanca
Priboiu,Giurgiu,GR,154,44.4475725,25.5877597,Priboiu,Priboiu
Sfantugheorghe(Crevediamare),Giurgiu,GR,1672,44.4351294,25.5961161,Sfantugheorghe(Crevediamare),SfantuGheorghe(CrevediaMare)
Daia,Giurgiu,GR,1034,43.9872235,25.9918134,Daia,Daia
Plopsoru,Giurgiu,GR,1817,44.012977,25.9861477,Plopsoru,Plopsoru
Florestistoenesti,Giurgiu,GR,4290,44.516667,25.7,Florestistoenesti,FlorestiStoenesti
Floresti,Giurgiu,GR,4290,44.5104178,25.6974445,Floresti,Floresti
Palanca,Giurgiu,GR,2775,44.4743213,25.7246938,Palanca,Palanca
Stoenesti(Florestistoenesti),Giurgiu,GR,1805,44.4883705,25.7072261,Stoenesti(Florestistoenesti),Stoenesti(FlorestiStoenesti)
Fratesti,Giurgiu,GR,2549,43.9908411,25.9318833,Fratesti,Fratesti
Cetatea,Giurgiu,GR,792,43.9486148,25.9503313,Cetatea,Cetatea
Remus,Giurgiu,GR,2020,43.9478662,25.9784171,Remus,Remus
Gaiseni,Giurgiu,GR,2229,44.5132726,25.6343203,Gaiseni,Gaiseni
Carpenisu,Giurgiu,GR,964,44.5351937,25.6301824,Carpenisu,Carpenisu
Cascioarele(Gaiseni),Giurgiu,GR,233,44.4996271,25.6347739,Cascioarele(Gaiseni),Cascioarele(Gaiseni)
Podupopanae,Giurgiu,GR,202,44.5189985,25.607871,Podupopanae,PoduPopaNae
Gaujani,Giurgiu,GR,1278,43.7547562,25.7032726,Gaujani,Gaujani
Cetatuia,Giurgiu,GR,220,43.755788,25.7442348,Cetatuia,Cetatuia
Pietrisu,Giurgiu,GR,1015,43.726035,25.6718139,Pietrisu,Pietrisu
Ghimpati,Giurgiu,GR,2527,44.1678743,25.7650381,Ghimpati,Ghimpati
Copaciu,Giurgiu,GR,1013,44.1800456,25.7652447,Copaciu,Copaciu
Naipu,Giurgiu,GR,1863,44.1544774,25.7597973,Naipu,Naipu
Valeaplopilor,Giurgiu,GR,661,44.2410598,25.8165247,Valeaplopilor,ValeaPlopilor
Gogosari,Giurgiu,GR,900,43.8680859,25.6752665,Gogosari,Gogosari
Draghiceanu,Giurgiu,GR,155,43.8640145,25.6770689,Draghiceanu,Draghiceanu
Izvoru(Gogosari),Giurgiu,GR,860,43.8885786,25.6606522,Izvoru(Gogosari),Izvoru(Gogosari)
Ralesti,Giurgiu,GR,193,43.8551288,25.6837694,Ralesti,Ralesti
Gostinari,Giurgiu,GR,2068,44.1866629,26.2202302,Gostinari,Gostinari
Mironesti,Giurgiu,GR,566,44.1716802,26.2462374,Mironesti,Mironesti
Gostinu,Giurgiu,GR,2032,43.9965157,26.1184158,Gostinu,Gostinu
Gradinari,Giurgiu,GR,1086,44.3973627,25.8092406,Gradinari,Gradinari
Tantava,Giurgiu,GR,1366,44.4157679,25.8275252,Tantava,Tantava
Zorile,Giurgiu,GR,1126,44.3777819,25.8038541,Zorile,Zorile
Greaca,Giurgiu,GR,1831,44.1102883,26.3312122,Greaca,Greaca
Putugreci,Giurgiu,GR,369,44.1409151,26.346006,Putugreci,PutuGreci
Zboiu,Giurgiu,GR,343,44.1258711,26.3077938,Zboiu,Zboiu
Hotarele,Giurgiu,GR,3939,44.1778868,26.3748815,Hotarele,Hotarele
Herasti,Giurgiu,GR,2115,44.2163065,26.3584504,Herasti,Herasti
Isvoarele,Giurgiu,GR,1489,44.150528,26.2972159,Isvoarele,Isvoarele
Milosesti,Giurgiu,GR,254,44.2110588,26.3746788,Milosesti,Milosesti
Teiusu,Giurgiu,GR,262,44.167017,26.2775692,Teiusu,Teiusu
Iepuresti,Giurgiu,GR,1032,44.2542603,25.8833948,Iepuresti,Iepuresti
Banesti,Giurgiu,GR,94,44.274465,25.8885107,Banesti,Banesti
Chirculesti,Giurgiu,GR,74,44.2651142,25.9219794,Chirculesti,Chirculesti
Gorneni,Giurgiu,GR,624,44.282595,25.8625612,Gorneni,Gorneni
Stalpu,Giurgiu,GR,291,44.2682489,25.8534827,Stalpu,Stalpu
Valtermaracineanu,Giurgiu,GR,110,44.2350415,25.8666767,Valtermaracineanu,ValterMaracineanu
Izvoarele,Giurgiu,GR,1323,43.9942886,25.7970218,Izvoarele,Izvoarele
Chiriacu,Giurgiu,GR,1419,44.0500299,25.7780257,Chiriacu,Chiriacu
Dimitriecantemir,Giurgiu,GR,212,44.0261519,25.8163462,Dimitriecantemir,DimitrieCantemir
Petrurares,Giurgiu,GR,160,44.0989346,25.7926524,Petrurares,PetruRares
Raduvoda,Giurgiu,GR,259,44.0052381,25.8172071,Raduvoda,RaduVoda
Valeabujorului,Giurgiu,GR,557,44.0769981,25.8329317,Valeabujorului,ValeaBujorului
Joita,Giurgiu,GR,2164,44.4955737,25.8558454,Joita,Joita
Bacu,Giurgiu,GR,1700,44.4782931,25.8915588,Bacu,Bacu
Cosoba,Giurgiu,GR,2611,44.525405,25.8089449,Cosoba,Cosoba
Sabareni,Giurgiu,GR,2864,44.507397,25.8731432,Sabareni,Sabareni
Letcanoua,Giurgiu,GR,1109,44.2335644,25.7360164,Letcanoua,LetcaNoua
Letcaveche,Giurgiu,GR,1171,44.1980961,25.6902956,Letcaveche,LetcaVeche
